seed	boss	split	outcome	turns_played	actions_played	fallback_actions	entry_hp	player_hp	player_hp_delta	entry_encounter_hp	encounter_hp_remaining	encounter_hp_removed	score_kind	score	final_screen	last_action	monsters_hp_remaining
8113870028127079359	DonuAndDeca	train	loss	9	63	0	86	0	-86	500	74	426	monster_hp_delta	426	Terminal	{"op":"end_turn"}	Deca:74/250
7980538611017551745	DonuAndDeca	train	loss	9	63	0	104	0	-104	500	167	333	monster_hp_delta	333	Terminal	{"op":"end_turn"}	Deca:167/250
6993034324752273972	AwakenedOne	train	loss	14	90	0	76	0	-76	704	211	493	monster_hp_delta	493	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:211/300
5284775401172843888	DonuAndDeca	test	win	13	90	0	75	37	-38	500	0	500	player_hp_delta	-38	Terminal	{"index":0,"op":"choose"}	-
7369302578465451988	TimeEater	train	loss	10	55	0	89	0	-89	456	78	378	monster_hp_delta	378	Terminal	{"op":"end_turn"}	TimeEater:78/456
4344099878014234711	TimeEater	train	loss	10	71	0	53	0	-53	456	135	321	monster_hp_delta	321	Terminal	{"op":"end_turn"}	TimeEater:135/456
6324235824329306920	AwakenedOne	train	loss	3	21	0	52	0	-52	699	563	136	monster_hp_delta	136	Terminal	{"op":"end_turn"}	Cultist:9/51,AwakenedOne:phase_1:254/300,AwakenedOne:phase_2_latent:300/300
5930132401452647550	AwakenedOne	train	win	14	109	0	41	18	-23	701	0	701	player_hp_delta	-23	Terminal	{"index":0,"op":"choose"}	-
9102753040736954161	AwakenedOne	val	loss	11	100	0	80	0	-80	689	156	533	monster_hp_delta	533	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:156/300
4846171683853151575	AwakenedOne	train	win	16	135	0	76	11	-65	706	0	706	player_hp_delta	-65	Terminal	{"index":0,"op":"choose"}	-
6894340148053570688	DonuAndDeca	train	win	12	84	0	85	7	-78	500	0	500	player_hp_delta	-78	Terminal	{"index":0,"op":"choose"}	-
1560841887350490646	DonuAndDeca	train	win	9	81	0	85	29	-56	500	0	500	player_hp_delta	-56	Terminal	{"index":0,"op":"choose"}	-
2375907636545663814	AwakenedOne	train	loss	9	61	0	75	0	-75	698	546	152	monster_hp_delta	152	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:246/300,AwakenedOne:phase_2_latent:300/300
3577339271391398673	AwakenedOne	train	loss	5	27	0	63	0	-63	706	640	66	monster_hp_delta	66	Terminal	{"op":"end_turn"}	Cultist:42/54,AwakenedOne:phase_1:298/300,AwakenedOne:phase_2_latent:300/300
889913119860978547	TimeEater	train	loss	9	54	0	75	0	-75	456	83	373	monster_hp_delta	373	Terminal	{"hand_index":1,"op":"play"}	TimeEater:83/456
7288046668457400954	TimeEater	train	win	14	70	0	89	94	5	456	0	456	player_hp_delta	5	Terminal	{"index":0,"op":"choose"}	-
1895268994758624647	DonuAndDeca	train	loss	11	101	0	67	0	-67	500	141	359	monster_hp_delta	359	Terminal	{"op":"end_turn"}	Deca:141/250
5979943319486872009	TimeEater	test	loss	16	91	0	75	0	-75	456	83	373	monster_hp_delta	373	Terminal	{"op":"end_turn"}	TimeEater:83/456
3650221056588572187	TimeEater	train	win	9	52	0	79	48	-31	456	0	456	player_hp_delta	-31	Terminal	{"index":0,"op":"choose"}	-
4734008699461379058	TimeEater	train	loss	10	66	0	71	0	-71	456	83	373	monster_hp_delta	373	Terminal	{"hand_index":1,"op":"play","target_index":0}	TimeEater:83/456
3599830370386682952	TimeEater	train	loss	8	36	0	75	0	-75	456	247	209	monster_hp_delta	209	Terminal	{"op":"end_turn"}	TimeEater:247/456
